"condition","awareness","qulty_rate_var","qulty_feel_var","qulty_smlr_var","indiv_body","happ.diff"
"facial mimicry",1,7,3,4,4.61111111111111,-0.75
"facial mimicry",1,7,1,7,1.83333333333333,0
"facial mimicry",1.5,7,1,7,3.55555555555556,0
"voluntary facial action",1,7,5,6,4.5,0
"pen-in-mouth",1,7,5,5,6.11111111111111,0
"facial mimicry",1,7,7,4,5.5,3.75
"voluntary facial action",1,7,4,7,3.66666666666667,1
"pen-in-mouth",1,7,4,4,5.33333333333333,-0.75
"pen-in-mouth",1,7,6,6,3.55555555555556,-0.75
"voluntary facial action",1,7,1,5,3.83333333333333,0
"facial mimicry",2.5,5,5,5,4.55555555555556,1.25
"voluntary facial action",1,7,1,3,4.05555555555556,0
"voluntary facial action",2.5,7,4,6,4.5,2
"facial mimicry",1,5,6,5,3.77777777777778,1
"voluntary facial action",3,7,2,5,4.33333333333333,0
"pen-in-mouth",1,7,6,7,4.61111111111111,0
"voluntary facial action",2,7,4,6,4.44444444444444,2.75
"voluntary facial action",1,7,4,7,3.5,1
"facial mimicry",1,7,6,6,5.16666666666667,1.25
"voluntary facial action",2,7,5,5,3.61111111111111,0.75
"pen-in-mouth",1,1,1,5,4.27777777777778,0
"facial mimicry",1,7,7,4,5.38888888888889,1
"facial mimicry",1.5,7,5,5,4.61111111111111,3
"facial mimicry",1,7,7,7,4.55555555555556,2.75
"voluntary facial action",6,7,5,7,5.22222222222222,1.5
"pen-in-mouth",1,6,3,NA,4.05555555555556,0
"pen-in-mouth",2,7,2,3,4.11111111111111,1
"facial mimicry",1,7,2,6,4.88888888888889,0.5
"voluntary facial action",1,7,2,6,3.94444444444444,0.25
"voluntary facial action",1,7,1,6,3.61111111111111,0
"voluntary facial action",1.5,7,3,5,4.61111111111111,0
"facial mimicry",4,7,2,4,4.16666666666667,0.25
"facial mimicry",5.5,7,1,5,3.88888888888889,0
"pen-in-mouth",1,7,1,NA,5.77777777777778,0
"voluntary facial action",1,7,6,6,3.16666666666667,0.5
